"","year","age","sex","polviews","happy","conrinc","wtssall","natrace","life","trust","dwelown","marital"
"88",1972,28,2,NA,2,NA,1.3339,NA,NA,3,NA,5
"89",1972,26,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"90",1972,20,2,NA,2,NA,0.8893,NA,NA,1,NA,5
"91",1972,25,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"92",1972,57,2,NA,2,NA,1.3339,NA,NA,1,NA,1
"93",1972,58,2,NA,2,NA,1.3339,NA,NA,1,NA,1
"94",1972,54,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"95",1972,35,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"96",1972,40,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"97",1972,57,1,NA,1,NA,1.3339,NA,NA,1,NA,1
"98",1972,64,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"99",1972,34,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"100",1972,25,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"101",1972,28,1,NA,1,NA,1.3339,NA,NA,1,NA,1
"102",1972,41,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"103",1972,36,2,NA,1,NA,0.8893,NA,NA,3,NA,1
"104",1972,31,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"105",1972,45,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"106",1972,74,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"107",1972,64,2,NA,2,NA,0.4446,NA,NA,1,NA,3
"108",1972,23,2,NA,2,NA,0.4446,NA,NA,1,NA,5
"109",1972,27,2,NA,1,NA,0.4446,NA,NA,2,NA,3
"110",1972,42,1,NA,3,NA,0.4446,NA,NA,2,NA,3
"111",1972,47,1,NA,3,NA,0.4446,NA,NA,2,NA,3
"112",1972,26,1,NA,2,NA,0.8893,NA,NA,2,NA,5
"113",1972,34,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"114",1972,52,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"115",1972,24,1,NA,2,NA,1.7786,NA,NA,2,NA,3
"116",1972,36,2,NA,2,NA,0.4446,NA,NA,1,NA,4
"117",1972,25,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"118",1972,46,2,NA,3,NA,1.3339,NA,NA,3,NA,4
"119",1972,54,2,NA,2,NA,1.7786,NA,NA,1,NA,1
"120",1972,27,2,NA,2,NA,0.4446,NA,NA,2,NA,4
"121",1972,20,2,NA,2,NA,0.4446,NA,NA,2,NA,5
