survey_yr,birth_cohort,counts,age_wmean,polviews_wmean,happy_wmean,conrinc_wmean,dwelown_wmean,been_married_wmean,conrinc_median,is2018,been_married_wmean_binned,dwelown_wmean_binned,age_wmean_binned,relative_youth
1977,1950.0,171,25.017909481052815,3.6358204121681994,1.862691159028965,16784.071015001497,0.0,0.6417831902705635,18787.0,0,0.6000000000000001,-0.0,25.0,2.0
1977,1955.0,124,20.462233582310873,3.649543982804956,1.8549862262322245,8031.239247135941,0.0,0.2628340635519505,9393.0,0,0.2,-0.0,20.0,1.0
1978,1905.0,65,71.05982968020729,3.9829055645113645,1.581190550543116,5357.915454537782,0.0,0.9658145050344775,5016.0,0,0.9,-0.0,70.0,11.0
1978,1910.0,76,65.84443973052646,4.4592637022624375,1.7333294321598125,7148.234926231249,0.0,0.9703710747489229,11287.0,0,0.9,-0.0,65.0,10.0
1978,1915.0,79,60.76542938962709,4.37654354851884,1.5802437980711213,19113.05912328761,0.0,0.9814829037791261,22573.0,0,0.9,-0.0,60.0,9.0
1978,1920.0,110,56.0684935954673,4.387946382670151,1.7305595690987836,22663.379784910154,0.0,0.9634659335862316,28217.0,0,0.9,-0.0,55.0,8.0
1978,1925.0,105,50.999997601256936,4.230772675118238,1.6842118729785591,24926.7247410357,0.0,1.0,34487.0,0,0.9,-0.0,50.0,7.0
1978,1930.0,81,45.958107874755854,4.575915905544704,1.7539269343596289,27941.4186472382,0.0,0.9790580734420222,31352.0,0,0.9,-0.0,45.0,6.0
1978,1935.0,132,40.970238683079046,4.029860811195244,1.809683667167332,26924.08448316778,0.0,0.9514910138245452,28217.0,0,0.9,-0.0,40.0,5.0
1978,1940.0,139,35.91849308251219,4.151194003567846,1.6588472640129852,22231.784214958923,0.0,0.9534817128725757,28217.0,0,0.9,-0.0,35.0,4.0
1978,1945.0,191,30.98587524603115,3.887009220867905,1.694913013206461,23626.820588064642,0.0,0.9067837648455528,28217.0,0,0.9,-0.0,30.0,3.0
1978,1950.0,201,25.940568754058585,3.7791465013416317,1.736893049242192,15604.719023732801,0.0,0.7270990112354042,18811.0,0,0.7000000000000001,-0.0,25.0,2.0
1978,1955.0,146,21.05295133493616,3.8470610376853793,1.7852926124993684,8719.512455976996,0.0,0.33530036717061384,11287.0,0,0.30000000000000004,-0.0,20.0,1.0
1980,1905.0,56,72.63441715094574,4.161298057204874,1.4301008099712063,129.99328844944463,0.0,0.9677441744540426,5495.5,0,0.9,-0.0,70.0,12.0
1980,1910.0,102,67.77368146580346,4.433237593510357,1.7400013348521997,3890.311559028183,0.0,0.9710857438916372,9892.0,0,0.9,-0.0,65.0,11.0
1980,1915.0,100,63.14364356683879,4.022098760895925,1.6132538531533076,12604.628541107868,0.0,0.9392292180438452,24731.0,0,0.9,-0.0,60.0,10.0
1980,1920.0,109,57.73587523131581,4.48474818864361,1.9220602246886498,26752.992846889036,0.0,0.935052869163113,30226.0,0,0.9,-0.0,55.0,9.0
1980,1925.0,97,52.927453919490986,4.269428203389693,1.7357496779659816,28577.786880876294,0.0,0.9533686633282556,35722.0,0,0.9,-0.0,50.0,8.0
1980,1930.0,100,48.04870937841828,4.639734589145318,1.7112478762088437,22615.695335745942,0.0,0.9599927308519685,27478.5,0,0.9,-0.0,45.0,7.0
1980,1935.0,97,43.17187381472874,4.242575460833466,1.7225534277182795,27142.779542131866,0.0,0.9823726458357758,30226.0,0,0.9,-0.0,40.0,6.0
1980,1940.0,126,37.74999694371795,4.1625029238431575,1.7124967705286398,36140.360034099955,0.0,0.9041704802274853,38470.0,0,0.9,-0.0,35.0,5.0
1980,1945.0,172,32.87625162729539,3.979939291251528,1.812707623265581,25143.261434244185,0.0,0.8829485611110747,24731.0,0,0.8,-0.0,30.0,4.0
1980,1950.0,176,28.126508991201455,3.8162674701265407,1.813249782304637,19416.94067786624,0.0,0.8222945975021888,24731.0,0,0.8,-0.0,25.0,3.0
1980,1955.0,159,22.766101727033224,3.772051901843295,1.8092154140515753,13718.293024930432,0.0,0.4757219380091661,19785.0,0,0.4,-0.0,20.0,2.0
1980,1960.0,54,19.467625727175765,3.9856140923636345,1.9064768246588224,6080.849201971221,0.0,0.17266325746595262,7694.0,0,0.1,-0.0,15.0,1.0
1982,1905.0,66,74.75615077708356,4.253032277738852,1.7473107934929006,1320.0518818092378,0.0,0.9906354260073406,6334.0,0,0.9,-0.0,70.0,12.0
1982,1910.0,95,69.68178257485235,4.2812684373094285,1.5980567385732063,5519.489831281575,0.0,0.9489618090502088,9953.0,0,0.9,-0.0,65.0,11.0
1982,1915.0,103,64.91141416093672,4.119765101807053,1.7811107434912175,15643.17465038802,0.0,0.9720408691407852,20358.0,0,0.9,-0.0,60.0,10.0
1982,1920.0,125,59.82913499385549,4.314539112401084,1.6579410225320637,12613.4916618402,0.0,0.9535995025324575,20358.0,0,0.9,-0.0,55.0,9.0
1982,1925.0,129,55.03071504752916,4.152750578955587,1.7737817013486257,18679.496030540944,0.0,0.9691440760466883,29406.0,0,0.9,-0.0,55.0,8.0
1982,1930.0,119,50.059589083715736,4.111149700234863,1.7362573277128277,23634.964748835457,0.0,0.9702050963691011,29406.0,0,0.9,-0.0,50.0,7.0
1982,1935.0,112,45.102233209500724,4.001669868043776,1.839236959533584,25441.211823876718,0.0,0.9876695860145364,33931.0,0,0.9,-0.0,45.0,6.0
1982,1940.0,139,39.92358330035172,4.21991239191537,1.9761436790476257,25495.956672234403,0.0,0.9273622095662304,29406.0,0,0.9,-0.0,35.0,5.0
1982,1945.0,164,34.98116282512481,4.017885889577883,1.7259946507627872,20881.052051171577,0.0,0.8671864990510382,24882.0,0,0.8,-0.0,30.0,4.0
1982,1950.0,233,29.848915249783477,3.8272872798256032,1.8243368736419954,20313.98386214516,0.0,0.8003568909994289,24882.0,0,0.8,-0.0,25.0,3.0
1982,1955.0,240,25.097763765409287,3.910757663557904,1.900176177575665,16052.291483695137,0.0,0.5720684597147414,20358.0,0,0.5,-0.0,25.0,2.0
1982,1960.0,133,20.35038290982168,3.898736366601858,1.9850357275455628,5533.09049776305,0.0,0.21499627315755107,8143.0,0,0.2,-0.0,20.0,1.0
1983,1925.0,50,56.19417524180252,4.504853325348428,1.8932076478503135,32181.2871801959,0.0,1.0,40577.0,0,0.9,-0.0,55.0,7.0
1983,1935.0,58,46.05344112813285,4.312978689046615,1.7633549999471794,32178.682610014544,0.0,0.969466524402483,36306.0,0,0.9,-0.0,45.0,6.0
1983,1940.0,67,40.731344692917936,3.917908829227053,1.7985063065907525,21553.972777422867,0.0,0.9626871727381773,27764.0,0,0.9,-0.0,40.0,5.0
1983,1945.0,95,36.08186874870655,3.953216536539176,1.789474414426289,26837.25807906156,0.0,0.9415195144990121,27764.0,0,0.9,-0.0,35.0,4.0
1983,1950.0,101,31.067359758083843,3.6683814686654235,1.7564776286972212,23404.012551654057,0.0,0.8031050823289346,23492.0,0,0.8,-0.0,30.0,3.0
1983,1955.0,117,26.167373904248432,4.133048910972916,1.8326193076284079,21237.317165721004,0.0,0.7210259569344496,23492.0,0,0.7000000000000001,-0.0,25.0,2.0
1983,1960.0,50,21.438006806711297,3.677684411062622,1.6694235535738502,7914.232313742662,0.0,0.1156977532624342,11105.0,0,0.1,-0.0,20.0,1.0
1984,1910.0,60,71.83506175204975,4.4948486735484074,1.7010254752153535,5344.13195059836,0.0,0.9072202396634174,18455.0,0,0.9,-0.0,70.0,11.0
1984,1915.0,89,66.91390533189225,4.039741424957723,1.523177262627778,8342.786665333277,0.0,0.9337779675293956,10663.0,0,0.9,-0.0,65.0,10.0
1984,1920.0,89,61.65116247658839,4.62209380852903,1.6279039403544158,15663.696002467224,0.0,0.9534896808817174,22556.0,0,0.9,-0.0,60.0,9.0
1984,1925.0,92,56.95629047154074,4.650270876994022,1.6502655874608445,26717.68304376666,0.0,0.9672122996457072,22556.0,0,0.9,-0.0,55.0,8.0
1984,1930.0,70,52.208860875819575,4.32277942035982,1.7025352671826806,28602.149587012802,0.0,0.9746853124574976,36909.5,0,0.9,-0.0,50.0,7.0
1984,1935.0,96,47.026912619066636,4.26008875955398,1.6816132986536747,26238.62543103598,0.0,0.9955160104038977,26657.0,0,0.9,-0.0,45.0,6.0
1984,1940.0,120,42.01645564981293,4.139918036443827,1.7366235603796074,24234.2122376497,0.0,0.9423888934919916,26657.0,0,0.9,-0.0,40.0,5.0
1984,1945.0,170,36.778843934366016,4.060903919325095,1.7596121627893702,25859.155286906705,0.0,0.9455163923643773,30758.0,0,0.9,-0.0,35.0,4.0
